VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-01-01 00:24:09,2019-01-01 00:54:33,2,2.80,1,N,48,158,1,18.5,0.5,0.5,5,0,0.3,24.8,
1,2019-01-01 00:56:47,2019-01-01 01:12:57,2,2.70,1,N,158,170,1,13,0.5,0.5,2,0,0.3,16.3,
1,2019-01-01 00:09:04,2019-01-01 00:27:43,1,1.90,1,N,107,249,1,12.5,0.5,0.5,1.52,0,0.3,15.32,
1,2019-01-01 00:28:43,2019-01-01 00:46:15,2,1.90,1,N,249,234,1,12,0.5,0.5,2.65,0,0.3,15.95,
1,2019-01-01 00:47:41,2019-01-01 00:56:27,2,1.20,1,N,164,113,1,7.5,0.5,0.5,1,0,0.3,9.8,
1,2019-01-01 00:58:53,2019-01-01 01:06:56,2,.90,1,N,113,148,1,6.5,0.5,0.5,1.55,0,0.3,9.35,
2,2019-01-01 00:26:36,2019-01-01 00:35:42,1,1.33,1,N,43,162,1,8,0.5,0.5,1.86,0,0.3,11.16,
2,2019-01-01 00:40:16,2019-01-01 00:57:32,1,4.28,1,N,161,74,1,16,0.5,0.5,4.32,0,0.3,21.62,
1,2019-01-01 00:30:26,2019-01-01 00:52:41,1,3.80,1,N,260,193,2,16.5,0.5,0.5,0,0,0.3,17.8,
2,2019-01-01 00:20:16,2019-01-01 00:27:26,6,1.21,1,N,48,143,1,7,0.5,0.5,1,0,0.3,9.3,
2,2019-01-01 00:28:38,2019-01-01 00:36:31,6,1.22,1,N,143,239,2,7.5,0.5,0.5,0,0,0.3,8.8,
2,2019-01-01 00:40:26,2019-01-01 00:43:57,6,1.03,1,N,239,238,2,5,0.5,0.5,0,0,0.3,6.3,
2,2019-01-01 00:46:52,2019-01-01 00:54:30,6,1.93,1,N,238,237,2,8,0.5,0.5,0,0,0.3,9.3,
2,2019-01-01 00:56:31,2019-01-01 01:10:23,6,1.90,1,N,237,48,2,10.5,0.5,0.5,0,0,0.3,11.8,
2,2019-01-01 00:20:27,2019-01-01 00:32:10,1,1.92,1,N,43,233,2,9.5,0.5,0.5,0,0,0.3,10.8,
2,2019-01-01 00:40:47,2019-01-01 00:52:28,1,1.02,1,N,161,164,1,8.5,0.5,0.5,1.96,0,0.3,11.76,
2,2019-01-01 00:54:00,2019-01-01 00:55:24,1,.04,1,N,164,164,2,3,0.5,0.5,0,0,0.3,4.3,
2,2019-01-01 00:58:47,2019-01-01 01:05:31,1,.54,1,N,164,186,1,6,0.5,0.5,1,0,0.3,8.3,
2,2019-01-01 00:03:15,2019-01-01 00:13:23,2,1.22,1,N,158,90,1,8,0.5,0.5,1.86,0,0.3,11.16,
